gene,pooled_rho
ATP6V1F,0.1753506769397799
TSPAN33,-0.180800826841245
UBE2H,-0.1382416315541979
MKLN1,-0.1647538759564251
STMP1,-0.1143644486052358
ZC3HAV1,-0.2081892148414999
HIPK2,-0.3001984822838919
KDM7A,-0.2020789155331843
MKRN1,0.1124844667428964
BRAF,-0.1327630221160372
MRPS33,0.1654615627390148
EPHB6,-0.1143546701984494
GSTK1,0.3744275189039163
ZYX,0.1200512857847329
CUL1,-0.1272597691604873
GIMAP8,-0.1488100323385212
GIMAP4,0.1448896560857477
GIMAP6,-0.1225202875699429
TMUB1,0.1097478820088945
WDR86,0.1151839123986722
RHEB,0.1389232802293381
KMT2C,-0.1136789327461012
RBM33,-0.2074104554202825
ESYT2,-0.1500795281457836
MCPH1,-0.1303088884483071
AGPAT5,-0.3029078114069525
PRAG1,-0.1548128104420935
TNKS,-0.1387472220451197
FDFT1,0.171235527444315
CNOT7,-0.1150649189604649
CSGALNACT1,-0.1641631384204175
INTS10,-0.1472654716464372
DOK2,0.252781155013597
DMTN,0.3100435408124447
PDLIM2,0.1085002457527305
CHMP7,-0.3000159232730156
ENTPD4,-0.1753002905156225
NEFL,0.3680467826089815
BNIP3L,-0.2415701133413321
PTK2B,-0.1940779938646886
EPHX2,-0.1744617611889646
CLU,0.1659644024987918
NUGGC,0.1831355789849306
DUSP4,0.1687353865904611
SARAF,-0.1629289519740041
WRN,-0.158590989871669
PLPP5,0.2439089256791823
NSD3,0.1323994487763655
ANK1,-0.1476094811660443
KAT6A,-0.1675233572250526
AP3M2,0.1465249554786145
VDAC3,0.1227969226824081
SMIM19,0.1348917917456879
HGSNAT,-0.1122403638170581
SPIDR,-0.1002668980324904
PRKDC,-0.1150827439249817
RB1CC1,-0.1555707708166647
PLAG1,-0.2383112660069485
TOX,-0.219051614521549
CHD7,-0.1813383988444879
YTHDF3,-0.1790101576635552
PDE7A,-0.2727595103615123
ARFGEF1,-0.1351084193605861
NCOA2,-0.1110900333722471
TRAM1,0.2355465981123134
MSC,0.2011960999424538
ELOC,0.1636367157082581
LY96,0.210024138420075
ZC2HC1A,0.1759052093597909
TPD52,0.174912761565885
GEM,-0.1227591896405518
TP53INP1,-0.1326366089306014
RPL30,-0.1169349685107382
VPS13B,-0.1224979584412036
POLR2K,0.1261287916213913
PABPC1,-0.1109549221248109
NCALD,-0.2253853408137635
UBR5,-0.1332200424490571
AZIN1,-0.1292170453260661
SLC25A32,-0.1142419486927942
OXR1,-0.1508917113961807
EIF3E,-0.1102535942630746
TRPS1,-0.1353282308321489
EIF3H,-0.1116340583245897
ENPP2,-0.1194337762805974
ZHX2,-0.1454409464936875
NDUFB9,0.1291017999357055
ASAP1,-0.1524304743325419
EFR3A,-0.1101507806208778
PHF20L1,-0.157048180200341
ST3GAL1,-0.1099940472374471
TRAPPC9,-0.1369092715757568
PTK2,-0.1888243499906456
LY6E,0.1648791802874938
GSDMD,0.1462971302404297
EEF1D,0.131274194447803
GRINA,-0.1852373785760488
SLC52A2,0.1056921955358689
